Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
Time,Temperature,Humidity,Speed,Flame Sensor,Front Sensor,Back Sensor,Latitude,Longitude,Drowsiness
09:53:31,30.50,96.8,1.60,not detected,not detected,flame detected,0.0,0.0,
09:53:32,30.50,96.8,1.16,not detected,not detected,flame detected,0.0,0.0,
09:53:33,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:33,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:33,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:33,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:33,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:33,30.50,96.8,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:35,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:35,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:35,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:35,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:35,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:35,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:37,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:37,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:37,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:37,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:37,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:37,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:39,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:39,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:39,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:39,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:39,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:39,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:41,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:41,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:41,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
09:53:41,30.50,96.7,11.72,not detected,not detected,flame detected,0.0,0.0,
